Date,Event
2026-08-25,Normal
2026-08-26,Normal
2026-08-27,Normal
2026-08-28,Normal
2026-08-29,Normal
2026-08-30,Holiday
2026-08-31,Normal
2026-09-01,Normal
2026-09-02,Normal
2026-09-03,Normal
2026-09-04,Normal
2026-09-05,Normal
2026-09-06,Holiday
2026-09-07,Exam
2026-09-08,Exam
2026-09-09,Exam
2026-09-10,Exam
2026-09-11,Exam
2026-09-12,Normal
2026-09-13,Holiday
2026-09-14,Normal
2026-09-15,Normal
2026-09-16,Normal
2026-09-17,Normal
2026-09-18,Normal
2026-09-19,Normal
2026-09-20,Holiday
2026-09-21,Normal
2026-09-22,Normal
2026-09-23,Normal
2026-09-24,Normal
2026-09-25,Normal
2026-09-26,Normal
2026-09-27,Holiday
2026-09-28,Normal
2026-09-29,Normal
2026-09-30,Normal
2026-10-01,Holiday
2026-10-02,Holiday
2026-10-03,Holiday
2026-10-04,Holiday
2026-10-05,Holiday
2026-10-06,Holiday
2026-10-07,Holiday
2026-10-08,Holiday
2026-10-09,Holiday
2026-10-10,Holiday
2026-10-11,Holiday
2026-10-12,Holiday
2026-10-13,Holiday
2026-10-14,Holiday
2026-10-15,Normal
2026-10-16,Normal
2026-10-17,Normal
2026-10-18,Holiday
2026-10-19,Normal
2026-10-20,Normal
2026-10-21,Normal
2026-10-22,Normal
2026-10-23,Normal
2026-10-24,Normal
2026-10-25,Holiday
2026-10-26,Normal
2026-10-27,Normal
2026-10-28,Normal
2026-10-29,Normal
2026-10-30,Normal
2026-10-31,Normal
2026-11-01,Holiday
2026-11-02,Normal
2026-11-03,Normal
2026-11-04,Normal
2026-11-05,Normal
2026-11-06,Normal
2026-11-07,Normal
2026-11-08,Holiday
2026-11-09,Normal
2026-11-10,Normal
2026-11-11,Normal
2026-11-12,Normal
2026-11-13,Normal
2026-11-14,Normal
2026-11-15,Holiday
2026-11-16,Normal
2026-11-17,Normal
2026-11-18,Normal
2026-11-19,Normal
2026-11-20,Normal
2026-11-21,Normal
2026-11-22,Holiday
2026-11-23,Normal
2026-11-24,Normal
2026-11-25,Normal
2026-11-26,Normal
2026-11-27,Normal
2026-11-28,Normal
2026-11-29,Holiday
2026-11-30,Normal
2026-12-01,Normal
2026-12-02,Normal
2026-12-03,Normal
2026-12-04,Normal
2026-12-05,Normal
2026-12-06,Holiday
2026-12-07,Exam
2026-12-08,Exam
2026-12-09,Exam
2026-12-10,Exam
2026-12-11,Exam
2026-12-12,PrepHoliday
2026-12-13,Holiday
2026-12-14,LabExam
2026-12-15,PrepHoliday
2026-12-16,LabExam
2026-12-17,PrepHoliday
2026-12-18,LabExam
2026-12-19,Normal
2026-12-20,Holiday
2026-12-21,Exam
2026-12-22,PrepHoliday
2026-12-23,Exam
2026-12-24,PrepHoliday
2026-12-25,Exam
2026-12-26,PrepHoliday
2026-12-27,Holiday
2026-12-28,Exam
2026-12-29,PrepHoliday
2026-12-30,Exam
2026-12-31,Normal
